holc_id,holc_grade,Can_P,Sum_poptot,Sum_whiten,Sum_blackn,Sum_asiann,Sum_latinx,Sum_pop25,Sum_lesshs,Sum_hsdeg,Sum_bachup,Sum_occ,Sum_ownocc,Sum_rentoc,Sum_povsta,Sum_povbel,city,grade,pcan,pwhitenh,pblacknh,pasiannh,platinx,plesshs,pbachup,pown,ppov,pmin
B4,B,47.036896,13052,10655,996,361,677,9687,292,3620,5775,5463,3692,1771,12687,786,Philadelphia,B,47.036896,81.635002,7.6310143,2.7658596,5.1869445,3.0143492,59.615982,67.581917,6.1953182,18.364998
B5,B,50.119392,63755,22574,34619,1834,1937,47595,3399,21696,22500,26748,15004,11744,61108,8257,Philadelphia,B,50.119392,35.407417,54.300056,2.8766372,3.038193,7.1415067,47.273872,56.093914,13.512142,64.592583
B6,B,17.395206,49520,2760,43832,551,1078,36119,2916,23417,9786,20063,13971,6092,49009,7086,Philadelphia,B,17.395206,5.5735059,88.513733,1.1126817,2.1768982,8.0733128,27.093773,69.635651,14.458569,94.426491
B7,B,63.875187,17187,9303,5121,994,848,12545,390,4916,7239,6766,5162,1604,16779,995,Philadelphia,B,63.875187,54.12812,29.795776,5.7834411,4.9339619,3.1088083,57.704266,76.293228,5.9300318,45.87188
B8,B,33.632553,62896,30459,16156,4864,9889,42751,4465,25255,13031,22543,14649,7894,61871,8287,Philadelphia,B,33.632553,48.427563,25.686848,7.7334013,15.72278,10.444201,30.481159,64.982475,13.393997,51.572437
B9,B,32.833103,24482,15546,2858,2653,2577,18170,1814,10485,5871,9856,4738,5118,24208,3896,Philadelphia,B,32.833103,63.499714,11.673882,10.836533,10.526101,9.983489,32.311504,48.072239,16.093853,36.500286
C1,C,36.738922,8350,6217,1132,446,295,6000,459,3373,2168,3577,2209,1368,8161,804,Philadelphia,C,36.738922,74.455093,13.556887,5.3413172,3.5329342,7.6500001,36.133335,61.755661,9.8517342,25.544907
C10,C,12.373216,75210,26769,24126,2268,19578,46595,7824,32964,5807,25907,14736,11171,74663,20742,Philadelphia,C,12.373216,35.592342,32.078182,3.0155563,26.031113,16.791502,12.46271,56.880379,27.780828,64.407654
C11,C,23.291576,15005,8325,3152,434,2602,10920,2014,7396,1510,5066,2628,2438,12871,2145,Philadelphia,C,23.291576,55.481506,21.00633,2.8923693,17.340887,18.443224,13.827839,51.875248,16.665371,44.518494
C12,C,25.070436,12746,9269,1931,377,1041,10173,1289,5896,2988,4916,3489,1427,10699,1116,Philadelphia,C,25.070436,72.720856,15.149851,2.9577906,8.1672678,12.670795,29.371866,70.972336,10.430882,27.279144
C13,C,13.691103,28471,551,26894,128,568,18252,1870,12857,3525,9612,5942,3670,27891,7689,Philadelphia,C,13.691103,1.9353026,94.461029,.44958028,1.9950125,10.245453,19.312952,61.818562,27.568033,98.064697
C14,C,15.12427,102167,19686,68122,6909,4406,60344,8066,34834,17444,36274,14585,21689,91804,28918,Philadelphia,C,15.12427,19.268452,66.677109,6.7624574,4.3125472,13.366697,28.907597,40.207863,31.499718,80.731552
C15,C,9.8018074,22993,1214,18928,1766,638,13626,2829,9500,1297,7376,3746,3630,22897,7631,Philadelphia,C,9.8018074,5.2798676,82.320709,7.6805983,2.7747576,20.76178,9.5185671,50.786335,33.327511,94.720131
C16,C,10.447322,13957,10734,482,1329,804,11846,104,1058,10684,8385,2909,5476,13912,1040,Philadelphia,C,10.447322,76.907646,3.4534643,9.5221033,5.7605505,.8779335,90.190781,34.692905,7.4755607,23.092354
C2,C,45.157486,19968,16106,1864,432,989,13944,472,7162,6310,7472,5995,1477,19865,1047,Philadelphia,C,45.157486,80.659058,9.3349361,2.1634614,4.9529247,3.3849685,45.252438,80.232872,5.2705765,19.340942
C3,C,52.513401,7286,5299,1217,331,216,5312,61,1537,3714,3081,2128,953,7242,298,Philadelphia,C,52.513401,72.728523,16.703266,4.5429592,2.9645896,1.1483433,69.917168,69.068481,4.1148853,27.271477
C4,C,35.322548,79724,16690,55762,1764,3012,54350,6605,29770,17975,31877,14937,16940,76282,19450,Philadelphia,C,35.322548,20.934725,69.94381,2.2126336,3.7780342,12.152714,33.072678,46.858238,25.497496,79.065277
C5,C,25.570143,19397,15361,1866,501,1020,15115,751,6187,8177,8527,4918,3609,19282,1929,Philadelphia,C,25.570143,79.192657,9.6200447,2.5828736,5.2585449,4.968574,54.098579,57.675617,10.004148,20.807343
C6,C,16.552008,37333,5035,28722,853,1447,26595,4556,15831,6208,16100,7839,8261,36332,11285,Philadelphia,C,16.552008,13.486728,76.934616,2.2848418,3.8759274,17.131041,23.342733,48.689442,31.060772,86.513275
C7,C,13.894366,36338,1999,19648,635,13573,22466,5955,14714,1797,11942,6288,5654,34271,13464,Philadelphia,C,13.894366,5.5011282,54.070118,1.7474819,37.352085,26.506721,7.9987535,52.654495,39.286861,94.498871
C8,C,8.6434813,51223,3750,11306,956,34725,29676,11679,16470,1527,16195,7813,8382,50486,23506,Philadelphia,C,8.6434813,7.32093,22.072117,1.8663491,67.791809,39.355034,5.1455722,48.243286,46.559441,92.67907
C9,C,7.9018555,18048,1607,8650,1867,5609,10375,2505,6452,1418,5402,2930,2472,17888,6041,Philadelphia,C,7.9018555,8.9040337,47.92775,10.344637,31.078236,24.144579,13.66747,54.23917,33.771244,91.095963
D1,D,39.496166,4506,2095,1553,234,141,3146,215,1886,1045,1598,1232,366,4491,335,Philadelphia,D,39.496166,46.493565,34.465157,5.1930761,3.1291611,6.834075,33.216782,77.096367,7.459363,53.506435
D10,D,6.8063931,24609,17383,1551,420,4785,17019,2866,11036,3117,9146,5872,3274,24539,5627,Philadelphia,D,6.8063931,70.636757,6.3025723,1.7066927,19.444105,16.840002,18.314825,64.202927,22.930845,29.363243
