community,geoid,population,longitude,latitude,pm25,neisafe,collgrad,coi_ed,coi_he,edi,hi,mhi,povrate,forborn,cancermort,hrtdismort,covid_deathrate,infmort,lifeExp,adultasthma
Riverdale,54,7229,-87.602849,41.660137,9.417760409,30.4,6.426826663,2.99298203,4.552191105,0.677960112,98.57934041,22814.86775,47.72375855,0.866944172,200.3,236.9,149.5,12.2,67.96491219,
Hegewisch,55,9884,-87.556803,41.668188,9.323610057,73.7,16.28568833,1.006661113,3.707403046,0.814266513,61.6935105,58156.16219,15.62056808,16.14201201,170.3,182.1,132,9.2,77.24116532,
Garfield Ridge,56,35352,-87.764246,41.796185,9.687695538,84.9,21.83402924,3.42454037,1.517673603,0.735706972,59.95636874,84727.09825,8.477016652,22.56388561,177.6,213.4,263.4,6,79.93879694,
Archer Heights,57,14282,-87.726365,41.810873,9.62602809,67.2,10.24346627,4.09562233,2.954599062,0.792835011,84.77383277,51200.96418,11.11452943,38.60185761,131,163.5,160.3,8.5,78.87876571,
Brighton Park,58,45141,-87.698859,41.817364,9.575916638,59.5,11.34980914,4.999787764,4.143957892,0.769987463,89.24071358,47314.17366,20.55350018,40.98014843,170,173.4,169.9,6.8,79.71775618,11.5
McKinley Park,59,15927,-87.6725,41.829927,9.514358398,79.3,25.30786832,4.593301472,2.677420328,0.800059349,77.56539472,66007.29166,12.90446314,39.9016356,158.8,162.9,118.6,2.7,80.42554489,
Lake View,6,91836,-87.656001,41.944236,9.194502871,94.4,83.11092644,1.054575724,1.524433404,0.368761513,3.76950203,110885.983,8.553918045,11.79020009,143.8,179.1,53.3,2.7,82.45354208,6.4
Bridgeport,60,33593,-87.648784,41.836151,9.46550036,81.7,36.39294115,3.568106534,2.550306512,0.762505547,60.31786155,64166.33636,14.67729812,35.19526007,164.9,187.7,84,5.6,80.3469067,
New City,61,43510,-87.659171,41.809017,9.504886832,53.5,8.691243432,4.999847047,4.56576684,0.743406955,84.03596372,39700.43241,28.87604169,27.2790273,202.9,203.7,220.2,7.7,73.70597857,10.5
West Elsdon,62,18249,-87.724213,41.792977,9.632298626,85.3,15.4315999,4.340470198,2.230526061,0.795822812,79.7350362,56266.37169,11.63220884,35.27770237,156.7,173.4,156.9,2.2,83.07787221,
Gage Park,63,39439,-87.696433,41.795429,9.583076654,58.4,8.438860964,4.731751567,3.250598126,0.752576497,89.23122778,44531.83753,17.32596846,35.53710214,157.8,160.3,261.5,4.3,79.47203619,
Clearing,64,24519,-87.768517,41.779582,9.705791455,75,21.63386142,3.496786518,2.460419834,0.781015437,58.46205003,61181.33861,8.099003462,19.63999797,207,234.1,156.1,4.7,77.99741906,5.2
