fips,poptot,whitenh,pwhitenh,blacknh,pblacknh,mhi,medyrblt,povstat,povbelow,ppov
42003504100,5746,4626,80.5081796,928,16.15036547,26126,1952,5625,759,13.49
42003504400,5379,5121,95.20356944,151,2.807213237,36522,1956,5328,314,5.89
42003505000,31,31,100,0,0,16250,1939,25,25,100
42003506000,727,705,96.9738652,15,2.063273728,26595,1939,729,122,16.74
42003507000,2343,2226,95.00640205,67,2.859581733,28431,1940,2337,195,8.34
42003508000,2145,1937,90.3030303,134,6.247086247,24811,1939,2126,352,16.56
42003509400,6076,5609,92.31402238,309,5.08558262,30057,1941,5858,660,11.27
42003510000,2017,1528,75.75607338,420,20.82300446,21286,1939,2017,444,22.01
42003511000,870,812,93.33333333,33,3.793103448,33125,1944,870,79,9.08
42003512000,2733,2370,86.71789243,300,10.97694841,27853,1940,2733,508,18.59
42003512800,1890,845,44.70899471,945,50,24517,1939,1966,571,29.04
42003512900,1787,710,39.7313934,995,55.67991046,20539,1939,1711,378,22.09
42003513800,2912,872,29.94505495,1910,65.59065934,18473,1939,2855,998,34.96
42003514000,2315,648,27.99136069,1601,69.15766739,13832,1942,2306,1037,44.97
42003515100,3104,1956,63.01546392,1062,34.21391753,31884,1942,3112,571,18.35
42003515200,2245,1785,79.51002227,365,16.25835189,32599,1949,2231,319,14.3
42003515300,2026,1416,69.89141165,514,25.37018756,21458,1939,1960,355,18.11
42003515400,1645,1383,84.07294833,171,10.39513678,33822,1939,1727,193,11.18
42003515500,633,597,94.31279621,13,2.05371248,64531,1939,617,42,6.81
42003516100,1545,1416,91.65048544,65,4.207119741,46086,1939,1542,56,3.63
42003516200,1766,1506,85.27746319,194,10.98527746,56250,1939,1727,100,5.79
42003517000,1998,1582,79.17917918,358,17.91791792,30382,1957,1982,259,13.07
42003518001,3558,3375,94.85666105,89,2.501405284,52016,1951,3558,216,6.07
42003518002,3273,3062,93.553315,114,3.48304308,39761,1950,3273,165,5.04
42003519000,3566,3123,87.57711722,297,8.328659563,67321,1956,3550,110,3.1
42003520001,3402,3115,91.56378601,166,4.879482657,37819,1960,3402,163,4.79
42003520002,3515,3283,93.3997155,137,3.897581792,37127,1954,3515,278,7.91
42003521100,4768,3621,75.94379195,881,18.47734899,50500,1959,4757,242,5.09
42003521200,4498,3758,83.54824366,392,8.714984438,36893,1971,4498,397,8.83
42003521301,4118,3505,85.11413307,281,6.823700826,38310,1968,4037,508,12.58
42003521302,4291,3583,83.50034957,425,9.904451177,34986,1969,4103,394,9.6
42003521401,2826,2594,91.79051663,117,4.140127389,43750,1964,2629,48,1.83
42003521402,4140,3555,85.86956522,186,4.492753623,72019,1968,4140,124,3
42003521500,4708,4355,92.50212404,143,3.037383178,46302,1965,4673,184,3.94
42003522000,3689,3604,97.69585253,16,0.433721876,25688,1939,3689,443,12.01
42003523100,5067,654,12.90704559,4259,84.05368068,34718,1954,5019,449,8.95
42003523200,4423,2326,52.58874067,1947,44.019896,37500,1950,4413,381,8.63
42003523300,4592,3712,80.83623693,768,16.72473868,41288,1954,4223,241,5.71
42003523400,5229,4306,82.34844138,770,14.72556894,38229,1954,5223,433,8.29
42003523501,5160,3593,69.63178295,1374,26.62790698,42266,1963,5168,298,5.77
42003523502,1703,1459,85.67234292,201,11.80270112,40521,1955,1695,116,6.84
42003523600,5276,4382,83.05534496,735,13.93100834,45417,1963,5276,234,4.44
42003523701,4555,4135,90.77936334,369,8.100987925,45659,1964,4547,485,10.67
42003523702,5718,4871,85.18712837,697,12.18957678,36734,1963,5709,641,11.23
42003523800,5086,4857,95.49744396,174,3.421156115,37764,1955,5086,208,4.09
42003524000,3124,2983,95.4865557,96,3.072983355,28245,1942,3109,439,14.12
42003525100,2200,2150,97.72727273,14,0.636363636,52148,1956,2190,72,3.29
42003525200,2213,2155,97.37912336,25,1.129688206,30750,1945,2166,204,9.42
42003525300,2498,2427,97.15772618,20,0.800640512,49808,1947,2141,110,5.14
42003526101,6367,6110,95.96356212,140,2.198837757,50760,1980,6314,348,5.51
42003526102,2082,2047,98.31892411,11,0.528338136,36286,1955,2066,266,12.88
42003526201,3668,3563,97.13740458,56,1.526717557,44754,1966,3660,257,7.02
42003526202,4955,4617,93.17860747,197,3.975782038,41446,1966,4942,268,5.42
42003526301,4323,4189,96.90030072,71,1.642377978,53581,1969,4323,96,2.22
42003526302,5545,5091,91.81244364,265,4.779080252,53298,1971,5545,189,3.41
42003550900,2630,1551,58.97338403,922,35.05703422,21023,1939,2458,726,29.54
42003551200,4399,2852,64.83291657,1332,30.279609,20829,1946,4324,1281,29.63
42003551300,2783,2708,97.30506648,40,1.43729788,32465,1953,2649,188,7.1
42003551900,1789,1278,71.43655674,431,24.09167132,14321,1959,1675,594,35.46
42003552000,3051,2468,80.89151098,475,15.56866601,30130,1939,3027,395,13.05
42003552100,1589,603,37.94839522,928,58.40151038,12804,1941,1192,683,57.3
42003552200,1435,1364,95.05226481,27,1.881533101,25881,1939,1318,188,14.26
42003552300,3077,1359,44.16639584,1497,48.65128372,22130,1939,3173,912,28.74
42003552400,3292,3060,92.95261239,170,5.164034022,29969,1939,3272,334,10.21
42003560400,1770,463,26.15819209,1204,68.02259887,21653,1943,1667,405,24.3
42003560500,2286,1664,72.79090114,494,21.60979878,32557,1939,2186,174,7.96
42003560600,1636,361,22.06601467,1196,73.10513447,16786,1939,1642,728,44.34
42003561000,1916,418,21.81628392,1410,73.5908142,24534,1939,1850,476,25.73
42003561100,1414,67,4.738330976,1281,90.59405941,25476,1946,1461,377,25.8
42003561200,1744,131,7.51146789,1518,87.0412844,23333,1941,1713,377,22.01
42003561400,4775,1353,28.33507853,3216,67.35078534,25275,1954,4768,593,12.44
42003561500,3655,1101,30.12311902,2365,64.70588235,37257,1959,3624,401,11.07
