neighbor,crude5u,mortrate,ypllrate,plbw,pteen,popdense,poptot,whitenh,blacknh,asiannh,othernh,latino,minority,hseunits,occunit,ownocc,rentocc,hlthinssta,nohlthins,kidinsstat,kidnoins,povstat,povbelow,kidpovstat,kidbelow,ppov,pkidpov,platino
Palmer Park,219.563901,899.964017,10628.900162,11.702827,14.628534,16382.5,13695,9634,900,315,730,2472,4061,6808,6273,2922,3351,13559,2346,3242,392,13608,3073,3242,980,22.5823045267,30.2282541641,18.0503833516
Park Hill,253.195081,1029.167431,10851.683873,10.346535,16.336634,8232.5,8458,4984,545,34,684,2480,3474,3976,3613,1488,2125,8048,1844,2025,144,8080,1495,1870,464,18.5024752475,24.8128342246,29.3213525656
Park Vista/Sundown,102.110279,600.658223,3220.604879,8.506098,3.079268,13092.8,17878,14224,844,513,1027,1716,3654,6695,6482,4962,1520,17423,1494,5265,326,17868,803,5255,321,4.4940676069,6.10846812559,9.59838908155
Parkmoor/Wasson,137.158532,759.942978,7585.859676,8.695652000000001,10.515672,11837,12152,9866,364,95,581,1521,2286,5690,5421,3273,2148,11772,1641,2249,130,11834,1844,2233,649,15.58222072,29.0640394089,12.5164581962
Patty Jewett/Kitty Hawk,241.758242,664.428063,6842.740176,8.928571,6.617647,13007.2,6689,5837,29,62,440,534,852,3477,3224,2149,1075,6636,891,1314,102,6689,988,1314,234,14.7705187621,17.8082191781,7.98325609209
Peyton,233.100233,685.187012,6797.697308,7.764706,9.058824,20.6,6552,6034,104,30,293,221,518,2658,2419,2016,403,6487,993,1764,117,6516,712,1752,317,10.9269490485,18.0936073059,3.37301587302
Pikes Peak Park,236.494897,837.850045,9372.264599,11.044177,16.88755,26086.4,17062,6072,2518,803,1650,6730,10990,7448,6661,2796,3865,16362,3858,5173,477,16851,5181,5143,2537,30.7459497953,49.3291853004,39.4443793225
Pulpit Rock,242.277408,551.049573,5490.44334,8.543834,6.315007,4553,9502,7732,260,298,395,992,1770,4404,4186,2400,1786,9317,1237,1383,64,8667,1058,1309,254,12.2072227991,19.4041252865,10.4399073879
Rockrimmon/Peregrine,72.683222,644.749944,4002.471253,9.036939,3.034301,8046.9,15030,12517,291,522,956,1127,2513,6192,5850,4875,975,14809,1126,3376,141,14924,750,3376,260,5.02546234254,7.70142180095,7.49833666001
Rustic Hills,256.981326,647.57424,7802.094496,10.038462,14.730769,6744.1,12781,7983,1427,317,798,2581,4798,5545,5126,3088,2038,12460,2611,3112,411,12773,2285,3112,1161,17.8892977374,37.3071979434,20.1940380252
Security-Widefield,143.101024,689.312457,6023.865218,9.361003,10.55539,23353.2,38792,23192,3282,1426,5156,8097,15600,14019,1339,10675,2721,37279,3583,11478,659,38587,3485,11286,1609,9.031539119390001,14.2566010987,20.8728603836
Southborough/Deerfield,192.407905,754.4555800000001,7229.885156,11.196034,13.592233,25834.2,18678,7741,3165,635,2540,5731,10937,6719,6288,3985,2303,18096,4385,5962,815,18561,4382,5845,2081,23.6086417758,35.6030795552,30.6831566549
Springs Ranch,73.313783,459.647281,3447.457935,7.854785,3.663366,7559.1,15927,11883,464,525,2093,1979,4044,5769,5538,4555,983,15247,926,4876,245,15859,1112,4808,474,7.01179141182,9.85856905158,12.4254410749
Stetson Hills,82.878016,382.308596,2566.117769,9.551913000000001,2.775956,14439.3,24320,17461,944,1002,2894,3416,6859,8415,8109,6209,1900,23571,2705,7715,364,24081,1718,7476,597,7.13425522196,7.98555377207,14.0460526316
Stratmoor Valley,265.251989,719.381707,6229.387826,9.739523999999999,15.628539,1211.8,5317,2821,497,36,762,1546,2496,1572,1455,946,509,4174,792,1263,157,4241,1321,1237,576,31.1483140769,46.5642683913,29.076546925
Stratton Meadows,355.029586,866.039431,11609.190667,11.183049,13.596233,5062.4,5562,2217,752,102,377,2259,3345,2867,2557,1070,1487,5427,1490,1368,251,5520,1803,1368,754,32.6630434783,55.1169590643,40.6148867314
Ute Valley,95.556617,547.723064,6475.778622,12.269939,6.441718,47.7,3499,3025,49,12,401,196,474,2199,1646,1223,423,3399,502,582,55,3372,403,530,133,11.9513641756,25.0943396226,5.60160045727
Venetian Village/Cragmoor,177.651448,853.460782,9778.941386,9.189641,9.941520000000001,7971.5,6997,5247,130,113,333,1269,1750,3277,3091,1869,1222,6917,1467,1185,231,6878,1332,1146,200,19.366094795,17.4520069808,18.1363441475
Village Seven,152.185944,593.400489,6213.374726,9.554285999999999,9.348571,29868.3,25072,19371,1126,469,1850,3099,5701,10746,1033,6730,3600,24853,3876,5846,653,24947,2948,5733,982,11.8170521506,17.1289028432,12.3604020421
Vista Grande/Garden Park,125.183459,601.998307,5616.55641,9.414441999999999,8.628181,32552.5,25966,19776,1237,595,2300,3181,6190,10563,1013,6453,3677,25688,3277,6407,469,25889,2453,6330,591,9.475066630620001,9.336492891000001,12.2506354464
